building_type,square_footage,number_of_occupants,appliances_used,average_temperature,day_of_week,energy_consumption
residential,7063,76,10,29.84,weekday,2713.95
commercial,44372,66,45,16.72,weekday,5744.99
industrial,19255,37,17,14.3,weekend,4101.24
residential,13265,14,41,32.82,weekday,3009.14
commercial,13375,26,18,11.92,weekday,3279.17
commercial,37377,26,32,16.24,weekend,4687.67
industrial,38638,92,14,21.01,weekend,5526.83
residential,34950,60,18,28.24,weekday,4116.32
industrial,29741,99,44,13.08,weekday,5841.65
residential,17467,42,36,28.84,weekday,3419.13
commercial,27702,71,14,11.3,weekend,4318.61
commercial,47265,4,44,25.38,weekday,5206.34
residential,19139,97,34,17.35,weekday,4070.21
residential,17820,11,8,17.8,weekend,2571.98
residential,45868,97,19,22.45,weekend,5031.14
commercial,9578,54,47,13.56,weekend,3891.12
commercial,4310,34,44,24.62,weekday,3362.42
industrial,38446,97,20,23.99,weekend,5672.37
industrial,7460,32,23,27.87,weekday,3563.67
residential,10880,19,48,22.67,weekend,3080.67
commercial,37912,24,43,10.38,weekday,4993.7
industrial,14699,83,40,32.92,weekday,4750.37
industrial,18274,32,22,17.87,weekday,4134.35
commercial,23898,55,16,26.95,weekend,3930.14
residential,41498,39,27,18.67,weekend,4411.53
industrial,41238,22,7,31.95,weekday,4812.15
residential,35611,8,5,23.67,weekend,3342.21
industrial,49653,63,12,29.54,weekday,5754.96
residential,30259,35,14,15.39,weekend,3566.01
residential,27072,12,30,32.89,weekend,3409.14
commercial,13499,75,41,12.97,weekday,4230.09
residential,46749,22,36,15.41,weekend,4700.42
commercial,22931,24,34,24.93,weekday,3991.89
industrial,29341,2,13,11.36,weekend,4190.25
residential,3800,5,26,20.96,weekday,2205.2
residential,49094,33,11,14.17,weekday,4483.83
residential,10403,25,26,21.34,weekday,2733.45
industrial,31919,77,20,22.84,weekend,5151.75
residential,1841,31,13,15.09,weekend,2086.62
residential,42188,64,43,24.21,weekday,5038.34
industrial,20920,89,31,32.76,weekend,4892.22
commercial,12093,58,35,10.34,weekday,3882.94
residential,27845,85,21,29.36,weekend,4015.46
residential,36832,20,30,31.23,weekend,3985.45
industrial,45162,85,45,12.92,weekday,6493.48
industrial,14105,73,26,14.95,weekday,4430.49
industrial,34914,99,18,33.43,weekend,5428.56
residential,16025,35,16,21.39,weekday,2914.3
industrial,49043,26,48,28.64,weekend,6028.93
residential,29898,63,13,18.75,weekend,3791.16
residential,12615,85,45,11.64,weekday,3872.54
commercial,3308,2,24,18.69,weekday,2621.96
industrial,35031,3,13,13.09,weekday,4526.12
residential,3211,78,10,28.31,weekend,2499.0
residential,10496,21,17,31.54,weekend,2417.11
industrial,49997,15,22,26.78,weekday,5505.97
industrial,38697,17,35,34.03,weekend,5134.71
industrial,36484,69,43,15.98,weekend,5794.31
industrial,28587,24,14,23.97,weekend,4329.5
industrial,28880,89,10,22.15,weekend,4923.27
industrial,7559,27,44,10.08,weekday,4027.56
commercial,6590,89,32,31.24,weekday,3753.31
industrial,44528,78,22,15.51,weekend,5868.84
commercial,6288,33,20,25.24,weekday,2968.2
residential,9627,84,41,25.93,weekend,3511.71
commercial,36868,10,22,15.14,weekend,4307.72
commercial,6859,25,47,25.8,weekend,3403.93
residential,35988,57,47,17.34,weekend,4722.68
residential,18185,97,15,29.66,weekday,3580.93
industrial,35633,44,19,11.91,weekend,5042.08
industrial,45359,75,35,26.86,weekday,6133.65
industrial,36335,6,33,17.4,weekday,4999.76
residential,11844,2,22,20.11,weekend,2451.63
industrial,12454,68,35,29.35,weekend,4355.96
commercial,13581,73,7,20.74,weekday,3495.35
industrial,27428,48,40,21.62,weekend,5043.32
commercial,16004,23,47,10.9,weekend,3915.71
commercial,48351,4,18,24.42,weekday,4745.47
industrial,37880,34,11,11.92,weekday,4944.4
industrial,47181,40,16,11.52,weekday,5571.47
