batch_id,production_date,plant,shift,temperature_avg_c,pressure_avg_bar,vibration_index,cycle_time_sec,defect_rate_pct,energy_kwh,material_loss_pct,coating_thickness_mm,output_units_per_hr,efficiency_score
B0001,2024-04-14,Plant_B,Night,225.43530008726324,4.958595967913106,1.777407040635685,59.5,6.0,159.7,2.2,2.480989467191401,198.8412282143679,9193.199999999999
B0002,,Plant_B,Evening,213.63258010484208,4.656315317732931,2.079549427347259,52.21,5.4,165.8,3.1,2.3286056594902007,230.0187261865719,9166.74
B0003,2025-01-17,Plant_B,Evening,197.3632038033113,4.071441811881654,0.9899788864471254,46.2,3.2,128.28,1.4,1.9455530655790203,269.1877883306958,9544.48
B0004,,Plant_B,Day,192.5235204376503,4.6947094464098384,1.3862009937990931,59.82,2.4,166.79,1.5,2.317478603838094,211.10345706887347,9613.599999999999
B0005,2024-03-05,Plant_B,Day,176.01157623726448,3.820514975870693,0.7418976759775723,35.04,0.1,132.61,1.6,1.8861700609414889,343.9273302747575,9830.160000000002
B0006,2023-04-03,Plant_A,Day,206.53913338242083,4.21211388761671,1.2474288246498928,49.69,4.0,144.8,2.3,2.4321273038983406,231.4582961609248,9379.2
B0007,2023-11-14,Plant_B,Evening,192.07654735699384,3.990748655830565,1.4907156702189197,51.73,4.4,161.91,2.1,2.3462216273725005,261.0621885781858,9359.24
B0008,2023-10-06,Plant_A,Day,199.1311719332887,3.609389291442268,1.212268475669247,43.11,1.2,125.44,1.4,1.7322603672740082,297.2095918197864,9741.679999999998
B0009,2025-01-18,Plant_C,Day,188.8452994604111,3.897889819972257,0.8079284142908961,45.86,1.0,135.85,1.3,1.8463397987749604,234.4345850470416,9771.300000000001
B0010,2023-06-05,Plant_B,Day,227.01932097250145,4.95147077927154,2.0387689661269928,72.97,4.9,179.76,3.6,2.531765041037878,123.72357769646568,9167.64
B0011,2024-12-08,Plant_A,Night,185.1577636020993,4.758758309359638,1.3185328389056366,45.41,0.7,139.63,1.9,1.8320988306903376,322.4184646710086,9741.33
B0012,2024-05-27,Plant_B,Day,172.72320270498793,3.7834259634564815,0.8751200525299397,47.27,2.8,126.08,1.4,2.0705513447185195,275.0933636141372,9583.92
B0013,,Plant_A,Day,201.90331621827784,4.685953500902712,1.4260710972249553,50.42,4.5,156.63,2.9,1.9752493341607984,255.5285139817113,9273.05
B0014,2023-10-16,Plant_B,Day,217.8428507966727,4.94288599140752,1.9104851683552724,64.08,4.9,161.19,3.1,2.853334889908227,153.66179940583646,9215.19
B0015,2024-04-02,Plant_A,Evening,219.54650155222816,5.329867807247364,1.762751376572943,61.0,5.7,177.11,3.3,2.6969503945364925,183.71688935800884,9118.81
B0016,2024-04-17,Plant_C,Day,208.7470096770557,4.452958977838758,2.115100078609648,61.02,5.3,174.4,3.6,2.4306028820352354,160.45241428194123,9129.08
B0017,,Plant_B,Day,199.1311719332887,4.912597357185987,1.462321251259065,57.59,3.4,165.8,1.5,2.2906659343363405,219.14751799295223,9515.099999999999
B0018,2023-08-07,Plant_B,Evening,208.8266024322936,4.260475531046404,1.2259449157514362,55.01,2.9,153.86,3.6,2.1253133570288805,240.2397597358254,9360.44
B0019,2024-07-24,Plant_A,Day,192.253685849404,4.049027267898523,1.2556511807348565,58.76,2.4,151.25,1.8,2.1361691487992998,197.97019654429215,9584.32
B0020,2023-12-17,Plant_A,Day,176.72436799603042,3.803193285419957,0.6924925544948434,44.1,2.0,143.34,2.1,1.895097173265745,274.0039180483085,9594.2
B0021,2025-01-30,Plant_A,Night,192.7632382247727,4.308535267741007,0.7457446866541588,48.9,4.2,136.13,1.8,2.0694218247153597,251.5499967760544,9407.56
B0022,2024-12-18,Plant_B,Night,204.09868604922195,4.639593161672776,1.3865899104228725,60.57,3.6,164.47,3.5,2.159426486032752,189.59028507973545,9302.6
B0023,2023-07-22,Plant_A,Evening,203.24404704568423,4.399319534595096,1.847984276697393,64.08,6.1,164.18,4.2,2.527153146341139,139.36050128197763,8995.62
B0024,2024-05-10,Plant_C,Day,191.4323327558049,3.791395257226884,0.604801768719345,41.71,1.9,134.86,0.5,1.8555830463267835,273.2429716451587,9760.949999999999
B0025,2024-08-12,Plant_A,Day,191.08434470969007,3.5828547777832656,0.9134122518655812,42.05,0.8,150.74,2.3,2.095410637323624,297.4692327955364,9691.84
B0026,2024-02-19,Plant_C,Evening,221.360157771547,5.316976545606723,1.9558029068882887,66.92,5.4,171.05,3.3,2.302731509770902,121.7517439463784,9147.82
B0026,2024-02-19,Plant_C,Evening,221.360157771547,5.316976545606723,1.9558029068882887,66.92,5.4,171.05,3.3,2.302731509770902,121.7517439463784,9147.82
B0027,2023-09-10,Plant_A,Day,190.36558080269623,3.918672317449853,1.1503888340829131,47.7,2.4,143.13,1.1,1.7938972391850927,286.0788592692584,9652.64
B0028,2024-08-11,Plant_A,Day,223.32796626764653,4.748805017972357,1.6588990270768216,51.2,7.3,157.75,2.5,2.6678395020711783,216.7761859796339,9038.25
